Thu Apr  3 23:52:07 2014    profil_all_nonumpy

         274136 function calls (273512 primitive calls) in 41.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20351   14.291    0.001   14.291    0.001 {numpy.core.multiarray.array}
     2031    3.503    0.002   12.411    0.006 Shape.py:18(__init__)
     2026    3.194    0.002    3.564    0.002 Buffer.py:146(_load_opengl)
     2356    1.947    0.001    9.524    0.004 Shape.py:128(draw)
     2356    1.805    0.001    6.334    0.003 Buffer.py:212(draw)
     2031    1.391    0.001   10.303    0.005 Buffer.py:22(__init__)
     2031    1.188    0.001    1.197    0.001 Ctypes.py:19(c_floats)
       64    0.719    0.011   23.888    0.373 osd.py:137(set_value)
      504    0.638    0.001    0.638    0.001 {method 'render' of 'Font' objects}
       30    0.626    0.021    0.699    0.023 Display.py:251(_tidy)
    12337    0.607    0.000    0.607    0.000 {numpy.core._dotblas.dot}
     2031    0.581    0.000    0.581    0.000 {numpy.core.multiarray.concatenate}
     2031    0.518    0.000    0.526    0.000 Ctypes.py:27(c_shorts)
     1955    0.488    0.000    0.488    0.000 Buffer.py:114(__del__)
     4382    0.479    0.000    0.479    0.000 Buffer.py:169(_select)
      476    0.435    0.001    6.936    0.015 String.py:25(__init__)
     9424    0.406    0.000    4.494    0.000 Loadable.py:37(load_opengl)
     1555    0.405    0.000   17.026    0.011 Sprite.py:8(__init__)
     1011    0.387    0.000    0.387    0.000 {method 'getsize' of 'Font' objects}
     4062    0.376    0.000    0.376    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1555    0.261    0.000   17.287    0.011 osd.py:84(__init__)
        1    0.224    0.224    1.789    1.789 Font.py:30(__init__)
      504    0.224    0.000    0.224    0.000 {method 'draw_bitmap' of 'ImagingDraw' objects}
      476    0.216    0.000    0.242    0.001 String.py:72(make_verts)
     4064    0.210    0.000    0.523    0.000 Loadable.py:18(__init__)
    19258    0.206    0.000    0.206    0.000 {_ctypes.byref}
     6082    0.188    0.000    0.326    0.000 __init__.py:1341(isEnabledFor)
     9426    0.184    0.000    0.389    0.000 Loadable.py:32(load_disk)
     6006    0.165    0.000    0.356    0.000 Loadable.py:13(is_display_thread)
     6007    0.157    0.000    0.191    0.000 threading.py:830(currentThread)
     2358    0.151    0.000    0.151    0.000 Shader.py:131(use)
      476    0.144    0.000    7.165    0.015 osd.py:67(create_pi3d_obj)
        1    0.142    0.142    0.148    0.148 DisplayOpenGL.py:154(destroy)
      262    0.142    0.001    0.188    0.001 function_base.py:3181(add_newdoc)
        9    0.138    0.015    3.647    0.405 __init__.py:1(<module>)
     6082    0.138    0.000    0.138    0.000 __init__.py:1327(getEffectiveLevel)
     6082    0.129    0.000    0.456    0.000 __init__.py:1126(debug)
    22930    0.126    0.000    0.126    0.000 {method 'append' of 'list' objects}
     1955    0.119    0.000    0.470    0.000 Loadable.py:23(__del__)
     4712    0.111    0.000    0.321    0.000 Texture.py:89(tex)
     1705    0.104    0.000    7.250    0.004 osd.py:98(draw)
     1955    0.096    0.000    0.214    0.000 Loadable.py:46(unload_opengl)
     4112    0.095    0.000    0.095    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       24    0.085    0.004    0.085    0.004 {method 'read' of 'file' objects}
     2031    0.081    0.000    0.081    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   105/27    0.077    0.001    0.194    0.007 sre_parse.py:379(_parse)
        2    0.070    0.035    0.376    0.188 __init__.py:2(<module>)
        1    0.070    0.070    0.092    0.092 polynomial.py:48(<module>)
13543/13428    0.068    0.000    0.069    0.000 {len}
        1    0.065    0.065    0.082    0.082 hermite.py:50(<module>)
        1    0.065    0.065    0.082    0.082 chebyshev.py:78(<module>)
        1    0.065    0.065    0.065    0.065 {method 'decode' of 'ImagingDecoder' objects}
        1    0.064    0.064   41.541   41.541 osd_demo.py:2(<module>)
        1    0.063    0.063    0.080    0.080 legendre.py:74(<module>)
        1    0.063    0.063    0.080    0.080 laguerre.py:50(<module>)
        1    0.063    0.063    0.079    0.079 hermite_e.py:50(<module>)
   204/25    0.062    0.000    0.125    0.005 sre_compile.py:32(_compile)
     6124    0.060    0.000    0.060    0.000 {math.sin}
       62    0.059    0.001    8.446    0.136 osd.py:183(draw)
      504    0.057    0.000    1.238    0.002 ImageDraw.py:258(text)
        6    0.056    0.009    0.086    0.014 {method 'sub' of '_sre.SRE_Pattern' objects}
    12248    0.054    0.000    0.054    0.000 {math.radians}
     2913    0.052    0.000    0.052    0.000 {isinstance}
