Thu Apr  3 23:16:18 2014    profil_no-ruler

         248409 function calls (247719 primitive calls) in 32.205 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5545    9.964    0.002    9.964    0.002 {numpy.core.multiarray.array}
     4472    3.100    0.001    5.374    0.001 Buffer.py:212(draw)
     4472    2.187    0.000    8.373    0.002 Shape.py:128(draw)
      549    1.821    0.003    1.824    0.003 Ctypes.py:19(c_floats)
      537    1.113    0.002   16.428    0.031 String.py:25(__init__)
      549    0.954    0.002    3.455    0.006 Shape.py:18(__init__)
      544    0.938    0.002    1.039    0.002 Buffer.py:146(_load_opengl)
      537    0.778    0.001    0.869    0.002 String.py:72(make_verts)
      504    0.624    0.001    0.624    0.001 {method 'render' of 'Font' objects}
      549    0.521    0.001    0.523    0.001 Ctypes.py:27(c_shorts)
     5016    0.500    0.000    0.500    0.000 Buffer.py:169(_select)
      549    0.427    0.001   10.828    0.020 Buffer.py:22(__init__)
    17888    0.424    0.000    1.768    0.000 Loadable.py:37(load_opengl)
     1011    0.391    0.000    0.391    0.000 {method 'getsize' of 'Font' objects}
      170    0.353    0.002    0.419    0.002 Display.py:251(_tidy)
      537    0.331    0.001   17.081    0.032 osd.py:67(create_pi3d_obj)
        1    0.306    0.306   32.242   32.242 osd_demo.py:2(<module>)
     4474    0.278    0.000    0.278    0.000 Shader.py:131(use)
    57361    0.265    0.000    0.265    0.000 {method 'append' of 'list' objects}
        1    0.226    0.226    1.779    1.779 Font.py:30(__init__)
      504    0.221    0.000    0.221    0.000 {method 'draw_bitmap' of 'ImagingDraw' objects}
     8944    0.217    0.000    0.535    0.000 Texture.py:89(tex)
     4291    0.207    0.000    0.207    0.000 {numpy.core._dotblas.dot}
    16648    0.187    0.000    0.187    0.000 {_ctypes.byref}
      549    0.174    0.000    0.174    0.000 {numpy.core.multiarray.concatenate}
    17890    0.167    0.000    0.355    0.000 Loadable.py:32(load_disk)
      523    0.161    0.000    0.161    0.000 Buffer.py:114(__del__)
      262    0.143    0.001    0.190    0.001 function_base.py:3181(add_newdoc)
        9    0.134    0.015    3.663    0.407 __init__.py:1(<module>)
     1098    0.130    0.000    0.130    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2064    0.121    0.000    3.294    0.002 osd.py:98(draw)
      344    0.095    0.000    5.029    0.015 osd.py:183(draw)
